2026-06-09 19:53:34 | INFO     | services.llm_service | _generate_response:132 | Generated answer successfully
2026-06-09 19:53:46 | INFO     | services.pdf_service | save_upload:72 | Saved upload: uploads\Typhoid.pdf
2026-06-09 19:53:46 | INFO     | services.pdf_service | extract_text:30 | Extracting text from: Typhoid.pdf
2026-06-09 19:53:47 | INFO     | services.pdf_service | extract_text:49 | Extracted 4 pages with text from 'Typhoid.pdf'
2026-06-09 19:53:47 | INFO     | services.ingestion_service | ingest_pdf:50 | Extracted 4 pages from 'Typhoid.pdf'
2026-06-09 19:53:47 | INFO     | services.ingestion_service | ingest_pdf:54 | Created 10 chunks from 'Typhoid.pdf'
2026-06-09 19:53:52 | INFO     | services.embedding_service | generate_embeddings_batch:72 | Generated embeddings for batch 1 (10/10)
2026-06-09 19:53:52 | INFO     | services.ingestion_service | ingest_pdf:59 | Generated 10 embeddings for 'Typhoid.pdf'
2026-06-09 19:53:57 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:54:07 | INFO     | services.pinecone_service | upsert_vectors:86 | Upserted batch: 10/10 vectors
2026-06-09 19:54:07 | INFO     | services.ingestion_service | ingest_pdf:77 | Stored 10 vectors for 'Typhoid.pdf'
2026-06-09 19:54:07 | INFO     | __main__ | process_uploads:162 | Successfully ingested 'Typhoid.pdf'
2026-06-09 19:54:34 | INFO     | services.llm_service | answer_question:62 | Answering question: what is the symptoms for typhoid...
2026-06-09 19:54:34 | INFO     | services.retrieval_service | retrieve:32 | Retrieving context for: what is the symptoms for typhoid...
2026-06-09 19:54:39 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:54:44 | INFO     | services.pinecone_service | query_vectors:131 | Retrieved 5 chunks from Pinecone
2026-06-09 19:54:44 | INFO     | services.retrieval_service | retrieve:43 | Retrieved 5 relevant chunks
2026-06-09 19:54:48 | INFO     | services.llm_service | _generate_response:132 | Generated answer successfully
2026-06-09 19:55:07 | INFO     | services.llm_service | answer_question:62 | Answering question: preventions...
2026-06-09 19:55:07 | INFO     | services.retrieval_service | retrieve:32 | Retrieving context for: preventions...
2026-06-09 19:55:12 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:55:15 | INFO     | services.pinecone_service | query_vectors:131 | Retrieved 5 chunks from Pinecone
2026-06-09 19:55:15 | INFO     | services.retrieval_service | retrieve:43 | Retrieved 5 relevant chunks
2026-06-09 19:55:20 | INFO     | services.llm_service | _generate_response:132 | Generated answer successfully
2026-06-09 19:55:39 | INFO     | services.llm_service | answer_question:62 | Answering question: preventions for typhoid...
2026-06-09 19:55:39 | INFO     | services.retrieval_service | retrieve:32 | Retrieving context for: preventions for typhoid...
2026-06-09 19:55:46 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:55:49 | INFO     | services.pinecone_service | query_vectors:131 | Retrieved 5 chunks from Pinecone
2026-06-09 19:55:49 | INFO     | services.retrieval_service | retrieve:43 | Retrieved 5 relevant chunks
2026-06-09 19:55:57 | INFO     | services.llm_service | _generate_response:132 | Generated answer successfully
2026-06-10 12:02:32 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-10 12:02:40 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-10 12:02:58 | INFO     | services.llm_service | answer_question:62 | Answering question: what is the symptoms of diabetes...
2026-06-10 12:02:58 | INFO     | services.retrieval_service | retrieve:32 | Retrieving context for: what is the symptoms of diabetes...
2026-06-10 12:03:07 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-10 12:03:29 | INFO     | services.pinecone_service | query_vectors:131 | Retrieved 5 chunks from Pinecone
2026-06-10 12:03:29 | INFO     | services.retrieval_service | retrieve:43 | Retrieved 5 relevant chunks
2026-06-10 12:03:38 | INFO     | services.llm_service | _generate_response:132 | Generated answer successfully
2026-06-10 12:05:42 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
